13562.941	fireplace	136
13565.833	costume	134
13566.812	costume	135
13567.354	mitten	136
13570.245	belt	134
13571.091	belt	135
13571.634	belt	130
13574.521	sauce	134
13575.606	sauce	135
13576.147	hammock	136
13579.036	raincoat	134
13579.982	raincoat	135
13580.527	raincoat	130
13583.429	trap	134
13584.952	trap	135
13585.492	cradle	132
13588.385	syrup	134
13589.382	syrup	135
13589.922	wrench	132
13592.823	swordfish	134
13594.020	swordfish	135
13594.569	swordfish	130
13597.460	sled	134
13598.424	sled	135
13598.965	clip	132
13601.867	nest	134
13602.868	nest	135
13603.412	ant	136
13606.303	onion	134
13607.123	onion	135
13607.660	onion	130
13610.547	cup	134
13611.440	cup	135
13611.988	stove	132
13614.884	tablecloth	134
13615.982	tablecloth	135
13616.520	tablecloth	130
13619.433	fortress	134
13620.568	fortress	135
13621.115	eggroll	136
13624.013	wax	134
13625.083	wax	135
13625.629	axe	132
13628.203	Did you just see the word: racecar?\n\n YES             NO	147
13631.138	Response	143
13631.476	barrel	134
13632.376	barrel	135
13632.917	ham	136
13635.831	bog	134
13636.742	bog	135
13637.281	tie	136
13640.176	vacuum	134
13641.108	vacuum	135
13641.644	lipstick	136
13644.551	rope	134
13646.074	rope	135
13646.625	lace	132
13649.532	ribbon	134
13650.510	ribbon	135
13651.055	ribbon	130
13653.942	cloud	134
13654.888	cloud	135
13655.435	cloud	130
13658.328	squirrel	134
13659.276	squirrel	135
13659.815	squirrel	130
13662.706	scarecrow	134
13664.058	scarecrow	135
13664.612	scarecrow	130
13667.511	braid	134
13668.354	braid	135
13668.892	tunnel	132
13671.792	bread	134
13673.315	bread	135
13673.857	hog	132
13676.748	bat	134
13677.442	bat	135
13677.986	boat	132
13680.878	brunch	134
13681.923	brunch	135
13682.466	dollhouse	136
13685.338	mayor	134
13686.199	mayor	135
13686.745	soup	136
13689.642	puppet	134
13690.383	puppet	135
13690.924	cardinal	136
13693.814	arena	134
13694.697	arena	135
13695.239	cloth	132
13697.812	Did you just see the word: attic?\n\n YES             NO	147
13701.968	Response	143
13702.311	check	134
13703.194	check	135
13703.746	barn	132
13706.641	zebra	134
13707.461	zebra	135
13708.009	lasagna	136
13710.894	chemical	134
13711.773	chemical	135
13712.322	vanilla	132
13715.219	domino	134
13716.103	domino	135
13716.652	domino	130
13719.542	mist	134
13720.591	mist	135
13721.132	fork	132
13724.024	raccoon	134
13725.047	raccoon	135
13725.595	raccoon	130
13728.488	snowball	134
13729.591	snowball	135
13730.142	snowball	130
13733.031	ladder	134
13733.851	ladder	135
13734.388	ladder	130
13737.289	clock	134
13738.235	clock	135
13738.785	highchair	136
13741.682	garlic	134
13742.528	garlic	135
13743.081	garlic	130
13745.985	corn	134
13747.509	corn	135
13748.046	jungle	132
